id,name,author,number_bans ,theme
1,NineteenMinutes,JodiPicoult,98,4
2,LookingforAlaska,JohnGreen,97,3
3,ThePerksofBeingaWallflower,StephenChbosky,85,3
4,Sold,PatriciaMcCormick,85,"1,4"
5,ThirteenReasonsWhy,JayAsher,76,4
6,Crank,EllenHopkins,76,1
7,Identical,EllenHopkins,74,1
8,TheKiteRunner,KhaledHosseini,73,2
9,TheHandmaidsTale,MargaretAtwood,67,2
10,WaterforElephants,SaraGruen,66,1
11,Tricks,EllenHopkins,66,"1,3"
